pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
news-C:631,news-C:631,,test,"Mr. Bloomberg later told reporters that the agreement '' will be a compromise , like the real world requires '' .","'' it will be a compromise , like the real world requires '' , he said .","mr. bloomberg later tell reporter that the agreement '' will be a compromise , like the real world require '' .","'' it will be a compromise , like the real world require '' , he say .",0.4545454545454546,20-16 9-2 10-3 11-4 12-5 13-6 14-7 15-8 16-9 17-10 18-11 19-12 3-15 8-0 ,{},{},{},3-15 4-15 5-15 8-0 9-2 10-3 11-4 12-5 13-6 14-7 15-8 16-9 17-10 18-11 20-13 ,0-14 1-14 6-1 7-1 ,{},{}
chtb_263-4-2,chtb_263,4,real,It is also determined at the Conference that transportation will be the focus of sub-regional cooperation .,"In this meeting , the traffic was confirmed as one of the important items in sub-regional co-operation .",it be also determine at the conference that transportation will be the focus of sub-regional cooperation .,"in this meeting , the traffic be confirm a one of the important item in sub-regional co-operation .",0.8076923076923077,16-17 15-16 14-15 6-2 8-5 ,{},{},{},{},{},{},{}
news-C:1554,news-C:1554,,test,prosecutors said the investment was a breach of duty and resulted in the pension fund immediately losing $ 1 million .,the indictment says the investment was a breach of fiduciary duties and resulted in the state pension fund immediately losing $ 1 million .,prosecutor say the investment be a breach of duty and result in the pension fund immediately lose $ 1 million .,the indictment say the investment be a breach of fiduciary duty and result in the state pension fund immediately lose $ 1 million .,0.17391304347826086,20-23 13-16 14-17 15-18 16-19 17-20 18-21 19-22 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-10 9-11 10-12 11-13 12-14 ,{},{},{},0-0 0-1 2-3 3-4 4-5 5-6 6-7 7-8 8-10 9-11 10-12 11-13 12-14 13-16 14-17 15-18 16-19 17-20 18-21 19-22 20-23 ,1-2 ,{},{}
ZBN20040306.004-3-5,ZBN20040306.004,3,real,"But if you are ranked first in everything , troubles and vexations may come about .","However , being No . 1 in every area has its own share of trouble .","but if you be rank first in everything , trouble and vexation may come about .","however , be no . 1 in every area have it own share of trouble .",0.8076923076923077,15-15 5-5 7-7 9-14 6-6 ,{},{},{},{},{},{},{}
PD20040224.001-6-1,PD20040224.001,6,real,"Nevertheless , U.S. has not proceeded with any specific implementation in the past one-year .","However , a year has passed and US has not shown any sign of implementing them .","nevertheless , u.s. have not proceed with any specific implementation in the past one-year .","however , a year have pass and u have not show any sign of implement them .",0.8076923076923077,14-16 3-8 4-9 9-14 0-0 2-7 13-3 1-1 ,{},{},{},{},{},{},{}
ZBN19981226_0005-2-24,ZBN19981226_0005,2,real,Yunnan Gardens that was put on the market in the end last week shows a good marketing response .,"Opening last weekend , Yunnan Gardens has achieved an excellent sales response .",yunnan garden that be put on the market in the end last week show a good marketing response .,"open last weekend , yunnan garden have achieve an excellent sale response .",0.8076923076923077,18-12 0-4 1-5 17-11 12-2 11-1 16-10 15-9 14-8 ,{},{},{},{},{},{},{}
news-C:523,news-C:523,,test,"he was sent to Larned State Hospital , where he was evaluated and treated .",he ordered him sent to the Larned State Security Hospital for continued evaluation and treatment .,"he be send to larn state hospital , where he be evaluate and treat .",he order him send to the larned state security hospital for continued evaluation and treatment .,0.6818181818181819,14-15 2-3 3-4 5-7 6-9 4-6 11-12 13-14 12-13 0-2 ,{},{},{},2-3 3-4 4-6 5-7 6-9 12-13 14-15 ,0-2 1-1 1-2 9-2 11-12 13-14 ,{},{}
XIN_CMN_20060213.0113-15-3,XIN_CMN_20060213.0113,15,real,"The bilateral trade amount reached 7.27 billion USD , and increased 23 % compared with that of last year .",Bilateral trade grew 23 % year-on-year to US $ 7.27bn .,"the bilateral trade amount reach 7.27 billion usd , and increase 23 % compare with that of last year .",bilateral trade grow 23 % year-on-year to u $ 7.27bn .,0.8076923076923077,19-11 1-0 2-1 11-3 12-4 5-9 10-2 6-10 7-8 18-5 ,{},{},{},{},{},{},{}
news-C:429,news-C:429,,test,"they passed through the Lemelson Medical , Educational and Research Foundation limited partnership in 2001 to Syndia .","it said the patents were '' allegedly '' assigned to Syndia in 2001 through the Lemelson Medical , Educational and Research Foundation Limited Partnership .","they pass through the lemelson medical , educational and research foundation limit partnership in 2001 to syndia .","it say the patent be '' allegedly '' assign to syndia in 2001 through the lemelson medical , educational and research foundation limit partnership .",0.36,17-24 2-13 3-14 4-15 5-16 6-17 7-18 8-19 9-20 10-21 11-22 12-23 13-11 14-12 15-9 16-10 ,{},{},{},1-8 2-13 3-14 4-15 5-16 6-17 7-18 8-19 9-20 10-21 11-22 12-23 13-11 14-12 15-9 16-10 17-24 ,0-2 0-3 ,{},{}
PD20031122.001-4-5,PD20031122.001,4,real,In short people half believe and half doubt it . They adopt a `` wait-and-see '' attitude .,"In short , most people are still somewhat skeptical and choose to wait and see .",in short people half believe and half doubt it . they adopt a `` wait-and-see '' attitude .,"in short , most people be still somewhat skeptical and choose to wait and see .",0.8076923076923077,17-15 0-0 1-1 14-12 14-13 14-14 2-4 ,{},{},{},{},{},{},{}
groups.google.com_ritaj_62b55f7ce07761b5_ARB_20060216_080500-11-5,groups.google.com_ritaj_62b55f7ce07761b5_ARB_20060216_080500,11,real,"`` They become hateful towards me by their transgressions , and they are the poorest to me .","They distance themselves from Me through sin , while they are in dire need for Me .","`` they become hateful towards me by their transgression , and they be the poor to me .","they distance themselves from me through sin , while they be in dire need for me .",0.8076923076923077,17-16 11-9 12-10 16-15 5-4 8-6 9-7 ,{},{},{},{},{},{},{}
ZBN19981020_0002-12-34,ZBN19981020_0002,12,real,The related increase owes much to its drive by the 6.6 % rise in dining out .,The main reason for this increase is that the fast food business has increased 6.6 % .,the related increase owes much to it drive by the 6.6 % rise in din out .,the main reason for this increase be that the fast food business have increase 6.6 % .,0.8076923076923077,16-16 10-14 11-15 12-13 2-5 7-2 ,{},{},{},{},{},{},{}
PHOENIX_GOODMORNCN_CMN_20060212_185800_477_746.qrtr-24-1,PHOENIX_GOODMORNCN_CMN_20060212_185800_477_746.qrtr,24,real,"Meanwhile , an extensive region in Europe was also affected by blizzards .",Large areas of Europe are also under the influence of a snowstorm .,"meanwhile , an extensive region in europe be also affect by blizzard .",large area of europe be also under the influence of a snowstorm .,0.8095238095238095,12-12 6-3 7-4 8-5 4-1 3-0 9-8 11-11 ,{},{},{},{},{},{},{}
news-C:2128,news-C:2128,,test,"the intelligence service , headed by Fujimori 's spy chief , Vladimiro Montesinos , was accused of torture , drug trafficking and disappearances .","the head of the intelligence service under Mr. Fujimori , Vladimiro Montesinos , was accused of tortures and disappearances .","the intelligence service , head by fujimori 's spy chief , vladimiro montesinos , be accuse of torture , drug trafficking and disappearance .","the head of the intelligence service under mr. fujimori , vladimiro montesinos , be accuse of torture and disappearance .",0.34782608695652173,23-19 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 0-3 1-4 2-5 21-17 22-18 4-1 6-8 ,{},{},{},0-3 1-4 2-5 6-7 6-8 7-6 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 21-17 22-18 23-19 ,4-0 4-1 4-2 5-0 5-1 5-2 ,{},{}
urd-WL-12-174278-7594553-8-5,urd-WL-12-174278-7594553,8,real,"Patients can adopt this treatment to recover from their illnesses , while healthy people can adopt it to remain healthy .",The patient should undergo this treatment for recovery in order to regain health .,"patient can adopt this treatment to recover from their illness , while healthy people can adopt it to remain healthy .",the patient should undergo this treatment for recovery in order to regain health .,0.8076923076923077,20-13 3-4 4-5 6-11 5-10 0-1 12-12 ,{},{},{},{},{},{},{}
chtb_311-5-18,chtb_311,5,real,The result arrived just in time for his 20th birthday and becomes the best present for the celebration .,"In fact , he can view this as a gift to celebrate his 20th birthday .",the result arrive just in time for his 20th birthday and become the best present for the celebration .,"in fact , he can view this a a gift to celebrate his 20th birthday .",0.8076923076923077,18-15 7-12 8-13 9-14 17-11 14-9 1-1 ,{},{},{},{},{},{},{}
news-C:322,news-C:322,,test,"consumers who said jobs are difficult to find jumped from 29.4 to 32.6 , while those claiming work was plentiful slipped from 13 to 12.6 .","consumers who said jobs are difficult to find jumped to 32.6 from 29.4 , while those saying work was plentiful slipped to 12.6 from 13 in April .","consumer who say job be difficult to find jumped from 29.4 to 32.6 , while those claim work be plentiful slip from 13 to 12.6 .","consumer who say job be difficult to find jumped to 32.6 from 29.4 , while those say work be plentiful slip to 12.6 from 13 in april .",0.125,25-27 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 17-17 18-18 19-19 20-20 13-13 14-14 15-15 9-11 10-12 11-9 12-10 21-23 22-24 23-21 24-22 16-16 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-11 10-12 11-9 12-10 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-23 22-24 23-21 24-22 25-27 ,{},{},{}
ZBN19981127_0096-12-24,ZBN19981127_0096,12,real,Over 90 % population concentrates on one-third country land .,More than 90 % of China 's people centralize on one third of its territory .,over 90 % population concentrate on one-third country land .,more than 90 % of china 's people centralize on one third of it territory .,0.8095238095238095,9-15 1-2 2-3 6-10 6-11 8-14 4-8 3-7 5-9 ,{},{},{},{},{},{},{}
artb_033-7-19,artb_033,7,real,This will grant it credibility which can be relied upon in the future . '',By doing this they would prove creditability that we can take recourse to in future .,this will grant it credibility which can be rely upon in the future . '',by do this they would prove creditability that we can take recourse to in future .,0.8076923076923077,13-15 12-14 10-13 ,{},{},{},{},{},{},{}
PHOENIX_GOODMORNCN_CMN_20060215_185801_955_1163.qrtr-15-1,PHOENIX_GOODMORNCN_CMN_20060215_185801_955_1163.qrtr,15,real,"This kind of changing sides by him , of course , has a great social impact in Japan .",Such a turnaround of course produced a significant impact on the entire Japanese society .,"this kind of change side by him , of course , have a great social impact in japan .",such a turnaround of course produce a significant impact on the entire japanese society .,0.8076923076923077,18-14 8-3 9-4 15-8 12-6 13-7 14-13 17-12 ,{},{},{},{},{},{},{}
news-C:2711,news-C:2711,,test,"Gregory Parseghian , a former investment banker , was appointed chief executive .",Greg Parseghian was appointed the new chief executive .,"gregory parseghian , a former investment banker , be appoint chief executive .",greg parseghian be appoint the new chief executive .,0.6,12-8 10-6 11-7 8-2 9-3 1-1 ,{},{},{},0-0 1-1 8-2 9-3 10-6 11-7 12-8 ,{},{},{}
chtb_168-11-24,chtb_168,11,real,He hopes this co-operative relation will develop continually and make significant achievements .,We hope that the cooperative relationship will continue to develop and pave the way for more great achievements .,he hop this co-operative relation will develop continually and make significant achievement .,we hope that the cooperative relationship will continue to develop and pave the way for more great achievement .,0.8076923076923077,12-18 11-17 1-1 4-5 3-4 10-16 7-7 6-9 8-10 5-6 ,{},{},{},{},{},{},{}
news-C:852,news-C:852,,test,they used discarded skin from consenting patients who had undergone surgery and exposed it to UVA light at intensities similar to that of sunlight .,Sanders and colleagues at RAFT exposed skin samples removed from consenting patients during surgery to UVA light at intensities similar to that of sunlight .,they use discard skin from consent patient who have undergone surgery and expose it to uva light at intensity similar to that of sunlight .,sander and colleague at raft expose skin sample remove from consent patient during surgery to uva light at intensity similar to that of sunlight .,0.43333333333333335,24-24 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 4-9 5-10 6-11 3-6 10-13 12-5 ,{},{},{},3-6 3-7 4-8 4-9 5-10 6-11 10-13 12-5 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 ,0-0 0-1 0-2 7-12 8-12 9-12 13-6 13-7 ,{},{}
cmn-WL-8-89458-7854184-17-5,cmn-WL-8-89458-7854184,17,real,"The female driver denied vehemently , drawing secret laughter from a few passengers .","The woman driver 's persistent denials caused some of the fellow passengers to giggle , quite inaudibly .","the female driver deny vehemently , draw secret laughter from a few passenger .","the woman driver 's persistent denial cause some of the fellow passenger to giggle , quite inaudibly .",0.8076923076923077,13-17 2-2 0-0 1-1 3-5 12-11 ,{},{},{},{},{},{},{}
chtb_092-9-34,chtb_092,9,real,"In addition , Gansu 's open-door situation had helped it to develop well .","Additionally , the tendency of opening up for developments in Gansu has been looking very good .","in addition , gansu 's open-door situation have help it to develop well .","additionally , the tendency of open up for development in gansu have be look very good .",0.8076923076923077,13-16 1-0 3-10 11-8 12-15 5-5 7-11 2-1 ,{},{},{},{},{},{},{}
artb_500-5-25,artb_500,5,real,In spite of this we do not have the slightest chance of terrorism occurring .,`` There is not even the slightest possibility that we will come under terrorist attack . '',in spite of this we do not have the slight chance of terrorism occur .,`` there be not even the slight possibility that we will come under terrorist attack . '',0.8076923076923077,14-15 8-5 9-6 10-7 12-13 13-11 ,{},{},{},{},{},{},{}
news-C:936,news-C:936,,test,supporters say a city casino will attract tourists and conventioneers who will gamble and spend money in restaurants and stores .,supporters say those people will gamble and have enough money left over to spend in restaurants and stores .,supporter say a city casino will attract tourist and conventioneer who will gamble and spend money in restaurant and store .,supporter say those people will gamble and have enough money leave over to spend in restaurant and store .,0.56,20-18 16-14 17-15 18-16 19-17 11-4 12-5 13-6 0-0 1-1 14-13 15-9 ,{},{},{},0-0 1-1 11-4 12-5 13-6 14-13 15-9 16-14 17-15 18-16 19-17 20-18 ,7-2 7-3 8-2 8-3 9-2 9-3 ,{},{}
artb_505-7-11,artb_505,7,real,This accident came two days only after another Kenyan Air Force fighter jet had been destroyed .,The incident took place just two days after the crash of a Kenyan warplane .,this accident come two day only after another kenyan air force fighter jet have be destroy .,the incident take place just two day after the crash of a kenyan warplane .,0.8076923076923077,16-14 3-5 4-6 2-2 1-1 12-13 8-12 10-3 ,{},{},{},{},{},{},{}
AFC20040108.0016-9-3,AFC20040108.0016,9,real,Hussein has been arrested after being at large for eight months .,Hussein was captured by American troops following 8 months on the fugitive run .,hussein have be arrest after be at large for eight month .,hussein be capture by american troop follow 8 month on the fugitive run .,0.8095238095238095,11-13 3-2 2-1 0-0 10-8 9-7 ,{},{},{},{},{},{},{}
CNS_CMN_20070723.0300-3-4,CNS_CMN_20070723.0300,3,real,He said there will be a big salary cut for high-level government employees .,He claimed to implement huge salary cut to senior civil servants .,he say there will be a big salary cut for high-level government employee .,he claim to implement huge salary cut to senior civil servant .,0.8095238095238095,13-11 7-5 8-6 1-1 0-0 12-10 10-8 6-4 ,{},{},{},{},{},{},{}
news-C:2035,news-C:2035,,test,initial reports indicated the shots had been fired from inside a mosque .,"according to Central Command 's initial reports , the attackers fired from a mosque in the city .",initial report indicate the shot have be fire from inside a mosque .,"accord to central command 's initial report , the attacker fire from a mosque in the city .",0.6363636363636364,12-17 0-5 1-6 7-10 8-11 10-12 11-13 ,{},{},{},0-5 1-6 7-10 8-11 10-12 11-13 12-17 ,2-0 2-1 ,{},{}
news-C:2168,news-C:2168,,test,it was the first speech by a US president to a joint session of the Philippines Congress since 1960 .,President Bush on Saturday became the first American president to address a joint session of the Philippine National Congress since Dwight Eisenhower in 1960 .,it be the first speech by a u president to a joint session of the philippine congress since 1960 .,president bush on saturday become the first american president to address a joint session of the philippine national congress since dwight eisenhower in 1960 .,0.5357142857142857,19-24 10-11 11-12 12-13 13-14 14-15 15-16 2-5 3-6 8-8 9-9 16-18 17-19 18-23 7-7 4-10 ,{},{},{},1-4 2-5 3-6 7-7 8-8 9-9 10-11 11-12 12-13 13-14 14-15 15-16 16-18 17-19 18-23 19-24 ,4-10 7-0 7-1 8-0 8-1 ,{},{}
ZBN20020320.0001-8-4,ZBN20020320.0001,8,real,Annan condemns Israeli military for ignoring safety of civilians .,Annan condemned Israel 's military action did not consider the security of civil lives .,annan condemns israeli military for ignore safety of civilian .,annan condemn israel 's military action do not consider the security of civil life .,0.8095238095238095,9-14 1-1 0-0 2-2 3-4 6-10 8-12 7-11 ,{},{},{},{},{},{},{}
news-C:178,news-C:178,,test,"Ryan Harvey , an outfielder from Dunedin high school in Florida , was selected with the sixth pick by the Chicago Cubs .","Ryan Harvey , a high school outfielder from Florida , was chosen sixth by the Cubs .","ryan harvey , an outfielder from dunedin high school in florida , be select with the sixth pick by the chicago cub .","ryan harvey , a high school outfielder from florida , be choose sixth by the cub .",0.3913043478260869,22-16 0-0 1-1 2-2 10-8 11-9 12-10 7-4 8-5 4-6 5-7 18-13 19-14 21-15 16-12 13-11 3-3 ,{},{},{},0-0 1-1 2-2 3-3 4-6 5-7 7-4 8-5 10-8 11-9 12-10 13-11 16-12 18-13 19-14 20-15 21-15 22-16 ,{},{},{}
chtb_177-9-29,chtb_177,9,real,Bonne once visited this destroyed bomb shelter on-site and found about 400 civilians died .,Bowin reported from the site of the destroyed bunker that about 400 civilians lost their lives .,bonne once visit this destroyed bomb shelter on-site and find about 400 civilian die .,bowin report from the site of the destroyed bunker that about 400 civilian lose their life .,0.8076923076923077,14-16 10-10 11-11 12-12 4-7 6-8 7-4 ,{},{},{},{},{},{},{}
chtb_262-10-5,chtb_262,10,real,Liu Yuyi thus called this stone the `` Rare Stone of the Divine Land with Five Unique Features '',"Therefore , Professor Liu names the pebble `` 5 resemblance China Stone '' .",liu yuyi thus call this stone the `` rare stone of the divine land with five unique feature '',"therefore , professor liu name the pebble `` 5 resemblance china stone '' .",0.8076923076923077,9-11 6-5 0-3 7-7 3-4 5-6 2-0 18-12 15-8 ,{},{},{},{},{},{},{}
news-C:1268,news-C:1268,,test,the findings were reported online in the June 1 edition of scientific journal Nature Medicine .,the findings are published in today 's edition of the journal Nature Medicine .,the finding be report online in the june 1 edition of scientific journal nature medicine .,the finding be publish in today 's edition of the journal nature medicine .,0.4444444444444444,15-13 12-10 13-11 14-12 0-0 1-1 2-2 9-7 10-8 5-4 ,{},{},{},0-0 1-1 3-3 5-4 6-6 9-7 10-8 12-10 13-11 14-12 15-13 ,2-2 7-5 8-5 ,{},{}
VOM19981111_0700_1476-4-42,VOM19981111_0700_1476,4,real,The following is the report in detail broadcasted by Mercury .,"Now please listen to the detailed contents of the report below , spoken by Macjill .",the following be the report in detail broadcast by mercury .,"now please listen to the detailed content of the report below , speak by macjill .",0.8095238095238095,10-15 3-8 4-9 6-5 ,{},{},{},{},{},{},{}
urd-WL-72-174253-7562183-12-2,urd-WL-72-174253-7562183,12,real,"Nowadays , the performance of Umrah has assumed serious importance for the rulers .",Haj has grown to excessive importance for government officials these days .,"nowadays , the performance of umrah have assume serious importance for the ruler .",haj have grow to excessive importance for government official these day .,0.8095238095238095,13-11 9-5 10-6 ,{},{},{},{},{},{},{}
