HITId,AssignmentId,WorkerId,source,target,gizaAlignments,sureAlignments,possAlignments,sourceHighlights,targetHighlights
306996CF6WKAFR1HLZASOH9JFWL1BS,3S06PH7KSR45G8WUPX6Z7RT6SHHD1D,A2ZRJMJTE6ID97,And prior to that it donated 5 million dollars in cash for the same reason .,"They should be given basic military training , and a unified uniform similar to the Army 's uniforms .",15-18 5-3,unchanged,unchanged,0 1 2 3 4 6 7 8 9 10 11 12 13 14,0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17
306W7JMRYYYSQRL2KKJ73RWRT2Q8BI,39DD6S19JPB73AV2T3QB53V358IEZJ,A4H1NYJVE7C53,Maclaren also reiterated his support to the restoration of China 's contracting party position in GATT and original member-state in WTO .,Mike Laren readdressed support for including China as a member of world trading organizations .,21-14 9-6 12-5 4-3 18-9,0-0 0-1 2-2 4-3 9-6 18-9 20-11 20-12 20-13 21-14,{},unchanged,unchanged
306W7JMRYYYSQRL2KKJ73RWRT2QB8L,3UN61F00HWPY50GI8L3VF6NRJYIR5K,A4H1NYJVE7C53,"The female driver denied vehemently , drawing secret laughter from a few passengers .","The woman driver 's persistent denials caused some of the fellow passengers to giggle , quite inaudibly .",13-17 2-2 0-0 1-1 3-5 12-11,unchanged,unchanged,unchanged,unchanged
306W7JMRYYYSQRL2KKJ73RWRT2R8BJ,32RIADZISS4SAWCV95KQ0OM954VS4T,A34QZDSTKZ3JO9,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",10-11 5-6 1-2 9-9 0-1,0-1 1-2 3-4 5-5 5-6 8-5 9-5 10-11,{},2 4 6 7,0 3 7 8 9 10
307FVKVSYRF45EVAV0HEHDUQ8Q347L,317HQ483I7SP2QJ5MY58VVMMNOJINJ,A1EQ2HDHF2WWSY,There are quite a few members of the Taishan team who can play defensive midfield . Both Cui Peng and Haibin can play .,"Luneng has many players that can play center field , Cui Peng and Hai Bin can play this position .",23-19 17-10 18-11 19-12 11-5 12-6 21-15 22-16,1-1 2-2 3-2 4-2 5-3 6-3 7-0 8-0 9-0 10-4 11-5 12-6 17-10 18-11 19-12 20-13 20-14 21-15 22-16 23-19,13-7 13-8 14-7 14-8,16,17 18
307FVKVSYRF45EVAV0HEHDUQ8Q374O,3OS46CRSLFZMHBXDMOIA89QU006V6Z,A4H1NYJVE7C53,Does the Sunna of Prophet ( SAW ) teach us this ?,Do we have to learn from the Prophet alone about how to handle such things ?,11-15 4-7 8-4,0-0 4-7 8-4 11-15,{},1 2 3 5 6 7 9 10,1 2 3 5 6 8 9 10 11 12 13 14
307L9TDWJYS8Q34TBTTK35OAU5C3NA,3ZPBJO59KP1GKJH8RM9KZE9D96JHDM,A4H1NYJVE7C53,They have more indoor training at home .,Most of the time they practice indoors in China .,7-9 3-6,3-6 4-5 7-9,{},unchanged,unchanged
307L9TDWJYS8Q34TBTTK35OAU5CN3U,30LSNF239UVTD4UC0F7O37JOCTL2I5,A34QZDSTKZ3JO9,initial reports indicated the shots had been fired from inside a mosque .,"according to Central Command 's initial reports , the attackers fired from a mosque in the city .",12-17 0-5 1-6 7-10 8-11 10-12 11-13,0-5 1-6 3-8 8-11 10-12 11-13 12-17,4-9 4-10 5-9 5-10 6-9 6-10 7-9 7-10,2 9,0 1 2 3 4 7 14 15 16
307L9TDWJYS8Q34TBTTK35OAU5D3NB,3KV0LJBBH2LWD71O0KKHW8YD5TPMRM,A2ZRJMJTE6ID97,"However , there are no reports of planes being brought down .",No confirmation that Lebanese air defense hit any of Israeli jets .,11-11 7-4,7-10 11-11,{},unchanged,unchanged
3087LXLJ6MG0LJSFUISOT2HUP260F5,3RWE2M8QWHAEVV2PI8G2PRMQ1TK0NM,A34QZDSTKZ3JO9,Angham is renowned for having a beautiful voice with a great range .,Angham distinguishes due to her intonation and accent .,12-8 0-0,0-0 1-1 2-1 3-2 3-3 7-5 7-7 12-8,{},unchanged,unchanged
3087LXLJ6MG0LJSFUISOT2HUP26F0K,3QXNC7EIPIVT6TYVHYXX7QR6W4Q90J,A1EQ2HDHF2WWSY,The center is a joint project between the Science and Advanced Technology Development Sector in the town of Shian and Hawashaya Engineering .,The base is being built jointly by the Scientific & High-Tech Developmental Zone of Xi'an and Hua Shya Engineering Company .,22-20 10-10 4-5 21-18 8-8 12-11 7-7,0-0 1-1 2-2 6-6 7-7 8-8 9-9 10-10 11-10 12-11 13-12 14-14 15-14 16-14 17-14 18-14 19-15 20-16 20-17 21-18 21-19 22-20,3-3 3-4 3-5 4-3 4-4 4-5 5-3 5-4 5-5,unchanged,unchanged
3087LXLJ6MG0LJSFUISOT2HUP270F6,3EWIJTFFVO7A1PPCP9DJZ4SHN2V0EB,A2ZRJMJTE6ID97,We do not fear rogues and the mafia society .,We are not afraid of ruffian criminal elements .,9-8 3-3 0-0 2-2 1-1,0-0 1-1 2-2 3-3 4-5 4-6 4-7 5-5 5-6 5-7 6-5 6-6 6-7 7-5 7-6 7-7 8-5 8-6 8-7 9-8,{},{},4
308KJXFUJR66518YH4U6ZC88PXPTAW,3OLF68YTN91Y8GNQCMUI6SPU8O8AFE,A1I6P3XTSPFEK5,TVEs create about one third of Fujian 's GDP .,The gross national product of the industry of villages and towns made up 1/3 of the GNP of Fujian Province .,9-20 5-17 6-18 1-11 8-16,1-11 1-12 3-13 4-13 5-14 6-18 7-17 8-16 9-20,0-0 0-1 0-2 0-3 0-4 0-5 0-6 0-7 0-8 0-9 0-10,unchanged,unchanged
308KJXFUJR66518YH4U6ZC88PXQATE,3SLE99ER0ND9W7JIJCOL4VPI2CRZBS,AROEBUDI2L9G9,U.S. corporate bond yield spreads tightened in spotty trading on Friday as Wall Street labored to get back on its feet after the largest power outage ever in North America .,"U.S. stocks rose slightly on feather-light volume on Friday , as Wall Street regrouped after the biggest-ever power outage in North America .",30-22 27-19 28-20 29-21 11-10 12-11 13-12 9-7 10-8 21-14 22-15 24-17 25-18 0-0 26-16,0-0 6-19 9-7 10-8 11-10 12-11 13-12 21-14 22-15 24-17 25-18 26-16 27-19 28-20 29-21 30-22,23-16,unchanged,unchanged
308KJXFUJR66518YH4U6ZC88PXQTAX,3Z2R0DQ0JHEHXZSQ4WHXISLWKZQE2I,A34QZDSTKZ3JO9,the vast majority of trades will be priced at 20 cents per contract or less depending on participation in incentive schemes '' .,Eurex said '' the vast majority '' of trades on Eurex US would be priced at 20 cents per contract or less depending on '' participation in incentive schemes '' .,22-30 6-13 7-14 8-15 9-16 10-17 11-18 12-19 13-20 14-21 15-22 16-23 17-25 18-26 19-27 20-28 21-29 0-3 1-4 2-5 3-7 4-8,0-3 1-4 2-5 3-7 4-8 5-12 6-13 7-14 8-15 9-16 10-17 11-18 12-19 13-20 14-21 15-22 16-23 17-25 18-26 19-27 20-28 21-29 22-30,{},{},0 1 2 6 9 10 11 24
308KJXFUJR66518YH4U6ZC88PXRATF,3BF51CHDTVAMLZGEFALPK7PUFHZ0H1,A34QZDSTKZ3JO9,"the intelligence service , headed by Fujimori 's spy chief , Vladimiro Montesinos , was accused of torture , drug trafficking and disappearances .","the head of the intelligence service under Mr. Fujimori , Vladimiro Montesinos , was accused of tortures and disappearances .",23-19 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 0-3 1-4 2-5 21-17 22-18 4-1 6-8,0-3 1-4 2-5 6-7 6-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 21-17 22-18 23-19,4-6 5-6 6-0 6-1 8-0 8-1 9-0 9-1,3 7 18 19 20,2
309D674SHZLU2UBF1WZC5DSAJTBBCR,3E1QT0TDFP94ZJW1GWGPDYWRYSJ8II,A34QZDSTKZ3JO9,"IAC 's stock closed yesterday down $ 2.81 , or 7.6 percent , at $ 34.19 .","InterActiveCorp 's shares closed at $ 34.19 , down $ 2.81 , or 7.6 percent on the Nasdaq Stock Market .",16-20 5-8 6-9 7-10 8-11 9-12 10-13 11-14 13-4 14-5 15-6 2-2 3-3 1-1,0-0 1-1 2-2 3-3 5-8 6-9 7-10 8-11 9-12 10-13 11-14 12-7 13-4 14-5 15-6 16-20,{},4,15 16 17 18 19
309D674SHZLU2UBF1WZC5DSAJTBCBS,3UNH76FOCS55A8DAEFCB44RA8G6MYQ,A34QZDSTKZ3JO9,"It is still better to be hypocritical , at least everyone is polite !",Maybe a little hypocrisy is okay . At least all would observe decorum .,13-13 8-7 9-8 3-5 6-3 1-4,1-4 3-5 6-3 7-6 8-7 9-8 13-13,10-9 11-10 11-11 11-12 12-10 12-11 12-12,0 2,0 1 2
30EMX9PEVKJB2E454V25JLFISQ6KSE,3HHRAGRYX85E9AQEJJZ8XRNOU739O6,A4H1NYJVE7C53,Many people have linked El Nino phenomenon to global warming .,Someone connect the Ernino phenomena with the up-going temperature in global area .,10-12 6-4 3-1 8-10,3-1 4-3 5-3 6-4 8-10 10-12,0-0 1-0,7 9,2 5 6 7 8 9 11
30EMX9PEVKJB2E454V25JLFISQ6SKM,3N4BPTXIO8ST3BT2J226M6TTNONUKK,AROEBUDI2L9G9,"the delegates said raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations , bank accounts of terror-related organizations and money transfers .","bin Laden 's men pointed out that raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations , bank accounts of terror-related organizations and money transfers .",27-31 6-10 7-11 8-12 9-13 10-14 11-15 12-16 13-17 14-18 15-19 16-20 17-21 18-22 19-23 20-24 21-25 22-26 23-27 24-28 25-29 26-30 2-4 3-7 5-9 4-8,3-7 4-8 4-28 5-9 6-10 7-11 8-12 9-13 10-14 11-15 12-16 13-17 14-18 15-19 16-20 17-21 18-22 19-23 20-24 21-25 22-26 23-27 24-8 24-28 25-29 26-30 27-31,{},unchanged,unchanged
30EV7DWJTVV1ZLVP1X0TROY18GI6Y9,30BXRYBRP4XFTPHZ8HEAR2YYGN3WHQ,A2ZRJMJTE6ID97,"He said a word , what pleases me is what there is for me is life !",He said something to me that made me happy and meant the world to me .,16-15 0-0 1-1 6-8 7-7 3-6 13-4,unchanged,unchanged,2 4 5 8 9 10 11 12 14 15,2 3 5 9 10 11 12 13 14
30EV7DWJTVV1ZLVP1X0TROY18GIY61,3F6KKYWMNB18UF3JUK4X4Y69VJCDND,A1EQ2HDHF2WWSY,"the MDC said a supporter , Tichaona Kaguru , died in hospital on Wednesday after being tortured and assaulted by soldiers putting down the protests .","the MDC said that an opposition supporter , Tichaona Kaguru , died in hospital after being tortured and assaulted by the soldiers putting down the anti-Mugabe protests .",25-27 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 14-14 15-15 16-16 17-17 18-18 19-19 20-21 21-22 22-23 23-24 0-0 1-1 2-2 24-26 3-4,0-0 1-1 2-2 3-4 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 14-14 15-15 16-16 17-17 18-18 19-19 20-21 21-22 22-23 23-24 24-26 25-27,2-3 20-20 24-25,12 13,5
30F94FBDNRKBOBDQNIU2UNSE7FATBR,3MB8LZR5BFTQKL68AOA5VJXAAW7LKS,A4H1NYJVE7C53,"they passed through the Lemelson Medical , Educational and Research Foundation limited partnership in 2001 to Syndia .","it said the patents were '' allegedly '' assigned to Syndia in 2001 through the Lemelson Medical , Educational and Research Foundation Limited Partnership .",17-24 2-13 3-14 4-15 5-16 6-17 7-18 8-19 9-20 10-21 11-22 12-23 13-11 14-12 15-9 16-10,unchanged,unchanged,{},0 1 2 3 4 5 6 7 8
30F94FBDNRKBOBDQNIU2UNSE7FBBTA,32AT8R96GL9RRU6AOBB8DSK34HCSU9,A34QZDSTKZ3JO9,God may bless you with the desire to act well .,May Allah guide you for good virtues .,10-7 1-0 0-1 9-5,0-1 1-0 3-3 9-5 10-7,2-2 8-6,4 5 6 7,4
30IRMPJWDZJZ1Z4SP620TBAM6ONKRQ,336YQZE83VE78K3Q3D7ET7THDCMM5W,AROEBUDI2L9G9,"in a major setback to consumers , a federal judge granted the government 's request Thursday to shut down a company that helps customers buy cheaper prescription drugs from Canada .","a federal judge Thursday granted a request by the Food and Drug Administration to shut down RX Depot , a popular Internet company that sells cheaper prescription drugs from Canada .",30-30 25-25 26-26 27-27 28-28 29-29 7-0 8-1 9-2 16-13 17-14 18-15 6-18 20-22 21-23 14-6 10-4 12-12 11-8 15-3 19-19,0-5 1-0 1-19 4-13 6-18 7-0 7-5 7-19 8-1 9-2 10-4 11-8 14-6 15-3 16-13 17-14 18-15 19-0 19-5 19-19 20-22 21-23 25-25 26-16 26-26 27-27 28-28 29-29 30-30,{},unchanged,unchanged
30IRMPJWDZJZ1Z4SP620TBAM6ONRKX,3KRVW3HTZNL8EM11F9KMMI39RV4SMC,A1EQ2HDHF2WWSY,"American forces here organized the elections , which officials say are important steps toward establishing democracy in Iraq .","U.S. forces organized the elections , which officials said were a step toward establishing democracy in the nation .",18-18 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 12-11 13-12 14-13 15-14 16-15 1-1 0-0,0-0 1-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 12-11 13-12 14-13 15-14 16-15 17-16 17-17 18-18,{},2 11,{}
30OITAWPBQ32V97YP4ZHPYU08LD9HO,3PZDLQMM0TL2018C85B2S4LTZNG2CG,A4H1NYJVE7C53,He who fights against God will be fought against .,"And whoever it is , he shall be at war with Allah .",9-12 4-11 2-9 3-10,unchanged,unchanged,5 6 7 8,0 1 2 3 4 5 6 7 8
30OITAWPBQ32V97YP4ZHPYU08LDH9W,3483FV8BEEJDKKZBYEYZ64TJ31G623,AROEBUDI2L9G9,-- Beneficial for the stability and prosperity of Hong Kong in the long run .,It helps to maintain Hongkong 's economy 's long-term prosperity and stability .,14-12 4-11 6-9 12-8,4-11 5-10 6-9 8-4 9-4 14-12,12-8 13-8,unchanged,unchanged
30P8I9JKOILOCN06R334SJG7U44V58,39GAF6DQWR0RAPWGGI6TDDZDSP6V1H,A2NV5CA59IXOAY,This technique becomes an important reference for other research on cryo-preservation of other human organs over a long period of time at ultra-low temperature .,The mastering of the skill has offered important experiences in the long-time preservation of other human organs in ultra low temperatures and their successful resurgence .,24-25 11-13 12-14 13-15 14-16 22-18 22-19 4-7 1-4 23-20 17-11 10-12,1-4 2-5 2-6 4-7 5-8 10-12 11-13 12-14 13-15 14-16 17-11 18-11 19-11 20-11 21-17 22-18 22-19 23-20 24-25,{},7 8,0 1 21 22 23 24
30P8I9JKOILOCN06R334SJG7U45V59,3MX2NQ3YC9UI2W2UHK9N4O9FKFO5XF,A2NV5CA59IXOAY,"'' we have found the smoking gun '' , investigating board member Scott Hubbard said .","'' we have found the smoking gun '' , said Hubbard , director of NASA 's Ames Research Center in California .",15-21 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 13-10 14-9 9-17,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 13-10 14-9 15-21,{},9 10 11,12 13 14 15 16 17 18 19 20
30P8I9JKOILOCN06R334SJG7U465VK,3C2NJ6JBKAHLR553XVKG8FF5YSG2NM,A2ZRJMJTE6ID97,At last the first signs of spring appear after the long hard frost .,"In the season of grieves , there was a voice of fresh blossom .",13-13,unchanged,unchanged,0 1 2 3 4 5 6 7 8 9 10 11 12,0 1 2 3 4 5 6 7 8 9 10 11 12
30QQTY5GMKK3MCPPA68WUHSK73RU7Y,382M9COHEHFQHB1SNGR3OBGO3RRUE0,AROEBUDI2L9G9,"buyers can purchase a Windows- and Office-loaded desktop for $ 298 , excluding taxes , the report said .","buyers can now choose a Windows- and Office-loaded desktop for 12,390 baht -LRB- US$ 298 -RRB- , excluding taxes , the report said .",19-25 12-18 13-19 14-20 15-21 16-22 17-23 18-24 3-4 4-5 5-6 6-7 7-8 8-9 9-10 0-0 1-1 10-15 11-16,unchanged,unchanged,unchanged,unchanged
30U1YOGZGAW3O8YVCEGIF8KS8H9DSU,3U84XHCDICDPB8Y94XEYWHJCSJ7Z4H,A4H1NYJVE7C53,Asia 's recovery was in the very preliminary stage .,Asia 's still just beginning to recover from their own crisis .,9-11 0-0 1-1 2-6,0-0 1-1 2-6 2-7 7-4 7-5 8-4 8-5 9-11,{},unchanged,unchanged
30U1YOGZGAW3O8YVCEGIF8KS8H9SD9,3BEFOD78W6TPC1ZQP8O4OFN3DG4M44,A2ZRJMJTE6ID97,Many roadblocks have been set up in different areas and residents are carrying big wooden rods to drive away strangers .,"In some road-blocked area , the local dwellers dispelled groups of strangers with their big wooden sticks .",20-17 13-14 14-15 15-16 8-3 10-6 19-11 4-9 6-0,1-2 4-9 6-0 8-3 10-6 13-14 14-15 15-16 19-11 20-17,0-0 0-1,2 3 5 7 9 11 12 16 17 18,4 5 7 8 10 12 13
30UZJB2POHC40EYN7TXY9OOO3KC35K,3NOKK93PR189SF46XGCYKTULH2REEV,A4H1NYJVE7C53,"Therefore , the creative media sector and the similar consulting sector serving small and medium-sized businesses are unable to grow into large scale .","So , intellectual trades , similar services , and consultation of small and medium-size enterprises can not form sizable ones .",23-20 12-11 13-12 15-14 14-13 8-5 11-6 9-9 10-3,8-5 9-6 9-9 10-6 12-11 13-12 14-13 15-14 16-15 16-16 16-17 17-15 17-16 17-17 18-15 18-16 18-17 19-15 19-16 19-17 21-18 21-19 22-18 22-19 23-20,{},unchanged,unchanged
30UZJB2POHC40EYN7TXY9OOO3KC53M,3JPSL1DZ5SZAW807AADVEXY3AFNANE,A1EQ2HDHF2WWSY,It is hoped that this cooperative relationship will continue to grow and yield great successes .,He also hoped that the cooperations could develop continuously and fruitfully .,15-11 2-2 3-3 5-5 8-8 10-7,2-2 3-3 11-9 15-11,4-4 4-5 5-4 5-5 6-4 6-5 7-6 7-7 7-8 8-6 8-7 8-8 9-6 9-7 9-8 10-6 10-7 10-8 12-10 13-10 14-10,0 1,0 1
30UZJB2POHC40EYN7TXY9OOO3KD35L,3GLB5JMZFXV2KNMX7GR2EEXCU7IDGX,A34QZDSTKZ3JO9,And perhaps no conscious man will accept this . But some self proclaimed journalists who like to add fuel to fire claim so .,"A reasonable man would never claim such a thing , although some malicious journalists insist that this is indeed what happened .",23-21 4-2 13-13 21-5,2-4 3-1 4-2 5-3 6-5 7-6 7-7 7-8 8-9 9-10 10-11 11-12 12-12 13-13 21-5 23-21,14-14 14-15 14-16 14-17 14-18 14-19 14-20 15-14 15-15 15-16 15-17 15-18 15-19 15-20 16-14 16-15 16-16 16-17 16-18 16-19 16-20 17-14 17-15 17-16 17-17 17-18 17-19 17-20 18-14 18-15 18-16 18-17 18-18 18-19 18-20 19-14 19-15 19-16 19-17 19-18 19-19 19-20 20-14 20-15 20-16 20-17 20-18 20-19 20-20 21-14 21-15 21-16 21-17 21-18 21-19 21-20 22-14 22-15 22-16 22-17 22-18 22-19 22-20,{},0
30Y6N4AHYPWRNTYIXPGDPYFWMFQDR6,3DEL4X4EL6LG4KCESMEKFL78FK6YX2,A1EQ2HDHF2WWSY,"'' we did not want to shut down '' , Lawrence Diamond , the CFO , said as O'Donnell lawyer Matthew Fishbein questioned him .","'' we did not want to shut down '' , Diamond testified under questioning by Matthew Fishbein , one of O'Donnell 's lawyers .",24-23 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 20-15 21-16 16-11 11-10 22-13 18-20 19-22,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-10 16-11 18-20 18-21 18-22 19-20 19-21 19-22 20-15 21-16 22-12 22-13 23-12 23-13 24-23,{},13 14,{}
30Y6N4AHYPWRNTYIXPGDPYFWMFQRDK,3LS2AMNW5FQK19700LAUJMDD47CQOE,A2ZRJMJTE6ID97,Several key US Republican Congressmen were caught in disagreement over how to impeach President Clinton .,Some important figures of the American Republic Party viewed divergently on the judicial issue of impeaching President Clinton .,15-18 12-15 13-16 14-17 2-5 3-6 1-1,unchanged,unchanged,4 5 6 7 8 9 10 11,2 3 4 7 8 9 10 11 12 13 14
30Z7M1Q8UYKN7HGAE6JB8GCLBK4A8O,35GMH2SV3EHV46HVRUFUP5OZL4AOEM,A4H1NYJVE7C53,"At present , China has a population of 1.23 billion .",Currently there are 1.2 billion people in China .,10-8 6-5 3-7 9-4 1-0,0-0 1-0 3-7 6-5 8-3 9-4 10-8,{},unchanged,unchanged
30Z7M1Q8UYKN7HGAE6JB8GCLBK58AN,3DYGAII7PL82M9J1FLN98MI3ECVQPI,A4H1NYJVE7C53,Fatah is a political rival of Islamic movement Hamas .,The armed organization Hamas is considered to be Al Fath 's opposition party .,9-13 8-3 0-9,unchanged,unchanged,unchanged,unchanged
30Z7M1Q8UYKN7HGAE6JB8GCLBK5A8P,33CID57104TKONY1PII6EXG8ZAXL3T,A2ZRJMJTE6ID97,The police carried out the detentions to deter the gathering .,The police was directed against this meeting and took action of arrest .,10-12 0-0 1-1 2-8 5-11 9-6,0-0 1-1 5-11 9-6 10-12,{},2 3 4 6 7 8,2 3 4 5 7 8 9 10
30Z7M1Q8UYKN7HGAE6JB8GCLBK68AO,3Z7EFSHGN9E31HB9WUWVIUFPCX2CXO,A34QZDSTKZ3JO9,About 100 million voted through internet and telephone .,Almost 10 billion people expressed their opinions on these wonders by cell phone and Internet .,8-15 5-14 7-12,0-0 4-10 5-14 7-12 8-10 8-15,3-3 3-4 3-5 3-6,1 2,1 2 7 8 9
30ZKOOGW2W65WHWPFLAWT6PDXEZ1AW,3LQ8PUHQFLSXSUXUJ0AVQBPQ1B7HI4,A4H1NYJVE7C53,This shows that it is an urgent task to strengthen their market competitiveness .,This demonstrates that increasing the market competitiveness of the state-owned enterprises has become a top priority at the moment .,13-19 11-5 12-6 9-3 1-1 0-0 2-2,unchanged,unchanged,unchanged,unchanged
30ZKOOGW2W65WHWPFLAWT6PDXEZA15,39RP059MEHT9X0KZ4NYRWTT9N8HMB6,A34QZDSTKZ3JO9,I was surprised it turned out me talking and the president just listening .,'' I was surprised it turned out me talking and the president just listening . . . it was mostly a monologue '' .,13-21 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 12-13,0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 12-13 13-23,{},{},0 14 15 16 17 18 19 20 21 22
311HQEI8RSGK8BJZGT74B97Z9L5Z7R,35H6S234SA05JHIYGX0X4BWVNCL56J,A2NV5CA59IXOAY,Republican officials said the advertising buy was proof that Democrats are panicking that they were losing their stature on Medicare .,Republican officials said the advertisements were proof that Democrats were panicking about losing their stature on Medicare .,20-17 6-5 7-6 8-7 9-8 10-9 11-10 15-12 16-13 17-14 18-15 19-16 0-0 1-1 2-2 3-3 4-4,0-0 1-1 2-2 3-3 4-4 6-5 7-6 8-7 9-8 11-10 14-9 15-12 16-13 17-14 18-15 19-16 20-17,10-9,unchanged,unchanged
