source,target,docID,type,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments1,answerPossAlignments1,answerSourceHighlights1,answerTargetHighlights1
the retailer said it came to the decision after hearing the opinions of customers and associates .,"the decision came after '' listening to our customers and associates '' , Melissa Berryhill , a spokeswoman for Wal-Mart , said .",news-common:2718,test,16-22 13-8 14-9 15-10 6-0 7-1 2-21 4-2 9-5 5-6 8-3 ,{},{},{},0-19 1-19 4-2 6-0 7-1 8-3 9-4 13-8 14-9 15-10 16-22 ,{},{},{}
"'' we will accede to the request while we explore all of our options '' , VeriSign spokesman Tom Galvin told Reuters .","we will accede to the request while we explore all of our options '' , said Russell Lewis , executive vice president of VeriSign 's Naming and Directory Services Group .",news-common:1296,test,22-30 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-23 20-15 ,{},{},{},1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-23 20-15 21-29 22-30 ,{},{},{}
two Atlanta companies that have not been accused of wrongdoing -- Delta Air Lines Inc. and the Home Depot -- were mentioned as having excessive pay packages for its CEOs .,two Atlanta-based companies that have not been accused of wrongdoing -- Delta Air Lines and Home Depot -- were also mentioned by witnesses as having excessive pay packages for CEOs .,news-common:1411,test,30-30 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 22-23 23-24 24-25 25-26 26-27 27-28 17-15 18-16 19-17 20-18 29-29 21-20 0-0 1-1 15-14 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 15-14 17-15 18-16 19-17 20-18 21-20 22-23 23-24 24-25 25-26 26-27 27-28 29-29 30-30 ,{},{},{}
the US investment bank said : '' we believe the long-term prospects for the energy sector in the UK remain attractive '' .,"'' we believe the long-term prospects for the energy sector in the UK remain attractive '' , Goldman said .",news-common:2006,test,22-19 6-0 7-1 8-2 9-3 10-4 11-5 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13 20-14 21-15 4-18 ,{},{},{},4-18 6-0 7-1 8-2 9-3 10-4 11-5 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13 20-14 22-16 ,{},{},{}
"Tom Kasmer , a 14-year-old from Belmont , N.C. , got a word that sounded like '' zistee '' during yesterday 's competition .","the 14-year-old national spelling finalist who attends school in Belmont , N.C. , got a word that sounded like '' zistee '' during competition Wednesday .",news-common:963,test,23-25 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 22-23 20-24 4-1 ,{},{},{},0-0 0-2 0-3 0-4 1-0 1-2 1-3 1-4 4-1 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 22-23 23-25 ,5-8 20-24 ,{},{}
about 10 percent of high school and 16 percent of elementary students must be proficient at math .,"in math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .",news-common:1486,test,17-21 2-13 3-14 4-15 5-16 7-3 8-4 9-5 10-6 11-17 12-18 13-19 14-20 16-1 ,{},{},{},0-12 1-12 2-13 3-14 4-15 5-16 7-3 8-4 9-5 10-6 11-10 12-18 13-19 14-20 16-1 17-21 ,11-17 15-0 ,{},{}
"they said many had been beaten , and police officers also stormed private wards at the hospital and harassed patients .",they said the police officers also entered various private wards at the clinic and attacked patients .,news-common:2988,test,20-16 12-8 13-9 14-10 15-11 8-3 9-4 10-5 0-0 1-1 19-15 16-12 2-7 11-14 7-13 ,{},{},{},0-0 1-1 8-3 9-4 10-5 11-6 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 ,{},{},{}
"the Pentagon , saying that Boykin requested it , is investigating his remarks .",the Pentagon has begun an official investigation into Boykin 's remarks .,news-common:3006,test,13-11 0-0 1-1 12-10 5-8 10-6 ,{},{},{},0-0 1-1 5-8 12-10 13-11 ,9-2 9-3 9-4 9-6 10-2 10-3 10-4 10-6 11-8 11-9 ,{},{}
"the technology-heavy Nasdaq Composite Index gained 25.75 points , or 1.5 percent , to 1,746.46 , its highest close in about 15 months .","the technology-laced Nasdaq Composite index .ixic was down 1.55 points , or 0.09 percent , at 1,744.91 .",news-common:2951,test,23-18 2-2 3-3 4-4 7-10 8-11 9-12 11-14 12-15 ,{},{},{},0-0 1-1 2-2 3-3 4-4 7-9 8-10 9-11 11-13 12-14 13-15 23-17 ,6-8 10-12 14-16 ,{},{}
"writing in the journal Geophysical Research Letters , Vincent 's team said all of the fresh water poured out of the 20 mile -lrb- 30 km -rrb- long Disraeli fjord .","writing in the journal Geophysical Research Letters , Vincent 's team said all of the fresh water poured out of the 20-mile-long Disraeli fjord .",news-C:2651,test,30-24 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 28-22 29-23 21-21 22-21 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-21 27-21 28-22 29-23 30-24 ,{},{},{}
"Greenspan is head of the U.S. central bank , which sets U.S. interest rates .","Greenspan 's Federal Reserve , the U.S. central bank , decides interest rates in the world 's largest economy .",news-C:1251,test,14-19 4-5 5-6 6-7 7-8 8-9 12-11 13-12 0-0 ,{},{},{},0-0 4-5 5-6 6-7 7-8 10-10 12-11 13-12 14-19 ,11-13 11-14 11-15 11-16 11-17 11-18 ,{},{}
the agency said it would not release the name of the 17-year-old involved because he is a minor .,the agency said it had no plans to release the name of the teenager involved because he was a minor .,news-C:2572,test,18-20 6-8 7-9 8-10 9-11 10-12 0-0 1-1 2-2 3-3 12-14 13-15 14-16 16-18 17-19 15-17 ,{},{},{},0-0 1-1 2-2 3-3 4-4 4-5 4-6 4-7 5-4 5-5 5-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 16-18 17-19 18-20 ,15-17 ,{},{}
"this morning , at UM 's New York office , Coen revised his expectations downward , saying that spending would instead rise 4.6 percent to $ 247 billion .","speaking to reporters at a New York news conference , Universal McCann 's Coen projected that total U.S. ad spending will rise 4.6 percent to $ 247.7 billion this year .",news-C:958,test,28-30 21-21 22-22 23-23 24-24 25-25 6-5 7-6 10-13 4-10 4-11 18-19 27-27 16-0 17-15 5-12 ,{},{},{},3-3 6-5 7-6 10-13 16-14 17-15 18-19 19-20 21-21 22-22 23-23 24-24 25-25 27-27 28-30 ,4-10 26-26 ,{},{}
the company emphasized that McDonald 's USA does not import any raw beef or hamburger patties from Canada for McDonald 's use in the United States .,McDonald 's said in a statement that it does not import any raw beef or hamburger patties from Canada for use in the United States .,news-C:2705,test,26-25 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 21-20 22-21 23-22 24-23 25-24 4-0 5-1 ,{},{},{},2-2 2-3 2-4 2-5 3-6 4-0 5-1 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 21-20 22-21 23-22 24-23 25-24 26-25 ,4-7 5-7 6-23 6-24 19-0 20-1 ,{},{}
a couple have been arrested for starving their four sons while letting their daughters feast in front of them .,"a couple starved their four adopted sons for years while allowing their daughters to feast on takeaways , police and neighbours said today .",news-C:1259,test,19-23 0-0 1-1 7-3 8-4 12-11 13-12 6-2 9-6 11-10 14-14 4-5 10-9 ,{},{},{},0-0 1-1 6-2 7-3 8-4 9-6 10-9 11-10 12-11 13-12 14-14 19-23 ,{},{},{}
"'' it 's probably not the easiest time to take over the shuttle program '' , he added '' , but I look forward to the challenge .","'' it is probably not the easiest time to come in and take over the shuttle program , but then again , I look forward to the challenge '' , he said .",news-C:104,test,27-32 3-3 4-4 5-5 6-6 7-7 8-8 21-22 22-23 23-24 24-25 25-26 26-27 9-12 10-13 11-14 12-15 13-16 14-28 15-29 16-30 0-0 1-1 19-17 20-18 17-31 2-2 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-12 10-13 11-14 12-15 13-16 14-28 15-29 16-30 17-31 20-18 21-22 22-23 23-24 24-25 25-26 26-27 27-32 ,{},{},{}
"Sharon says he is willing to free the two as holding them will not bring back Arad , who Israel believes is held by Iran .","Sharon has said he is willing to free Dirani and Obeid because holding them will not bring back Arad , who Israel believes is held by Iran .",news-C:2190,test,25-27 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24 23-25 24-26 2-3 3-4 4-5 5-6 6-7 0-0 1-2 9-11 ,{},{},{},0-0 2-3 3-4 4-5 5-6 6-7 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24 23-25 24-26 25-27 ,1-1 1-2 7-8 7-9 7-10 8-8 8-9 8-10 ,{},{}
"they had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","on June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",news-C:1,test,20-21 1-8 2-9 3-10 4-11 5-12 6-13 7-14 8-0 9-1 10-2 11-3 12-16 13-17 15-19 16-20 ,{},{},{},1-8 2-9 3-10 4-11 5-12 6-13 7-14 8-0 9-1 10-2 11-15 12-16 13-17 15-19 16-20 20-21 ,0-4 0-5 0-6 0-7 14-18 ,{},{}
the first products are likely to be dongles costing between US$ 100 and US$ 150 that will establish connections between consumer electronics devices and PCs .,the first products will likely be dongles costing $ 100 to $ 150 that will establish connections between consumer electronics devices and PCs .,news-C:556,test,25-23 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 0-0 1-1 2-2 6-5 7-6 8-7 4-4 11-9 ,{},{},{},0-0 1-1 2-2 4-4 6-5 7-6 8-7 9-10 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 ,3-3 ,{},{}
it was to fly a plane in the White House '' .,"'' it was to fly a plane into the White House '' , Mr. Karas said .",news-C:1036,test,11-16 0-1 1-2 2-3 3-4 4-5 5-6 7-8 8-9 9-10 10-11 ,{},{},{},0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 11-12 ,{},{},{}
