pairID,instructions,image,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
training-10,"If it is ever encountered, <i>'s</i> should be aligned with <i>of</i>, as well as any determiner (eg. the, my, a) that is introduced.",,training,"The arrest of Fang Fuming , an American citizen , by the Chinese government had temporarily caused tensions between China and the United States .",Fang 's being detained once made China-US relations be strained .,"the arrest of fang fuming , an american citizen , by the chinese government have temporarily cause tension between china and the united state .",fang 's be detain once make china-us relation be strain .,0.9333333333333333,14,24-10 3-0 1-3 17-9 19-6 ,{},{},{},{},{},{},{}
training-11,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.8947368421052632,3,8-11 3-2 0-0 1-6 ,{},{},{},{},{},{},{}
training-12,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.8947368421052632,1,10-11 5-6 1-2 9-9 0-1 ,{},{},{},{},{},{},{}
training-13,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.8947368421052632,6,13-7 8-6 11-3 ,{},{},{},{},{},{},{}
training-14,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Many sectors in the society also extended their helping hands .,He was offered help from all walks of life .,many sector in the society also extend their help hand .,he be offer help from all walk of life .,0.8947368421052632,1,10-9 8-3 ,{},{},{},{},{},{},{}
training-15,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Different circles of the society also give him their hands .,He was offered help from all walks of life .,different circle of the society also give him their hand .,he be offer help from all walk of life .,0.8947368421052632,1,10-9 6-2 ,{},{},{},{},{},{},{}
training-16,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Disagreement occurred among several key U.S. Republican congressmen over President Clinton 's impeachment trial .,Some important figures of the American Republic Party viewed divergently on the judicial issue of impeaching President Clinton .,disagreement occur among several key u.s. republican congressman over president clinton 's impeachment trial .,some important figure of the american republic party view divergently on the judicial issue of impeach president clinton .,0.896551724137931,4,14-18 9-16 10-17 12-15 13-12 5-5 6-6 4-1 ,{},{},{},{},{},{},{}
training-17,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Angham is renowned for having a beautiful voice with a great range .,Angham distinguishes due to her intonation and accent .,angham be renowned for have a beautiful voice with a great range .,angham distinguishes due to her intonation and accent .,0.8947368421052632,4,12-8 0-0 ,{},{},{},{},{},{},{}
training-18,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,We often meet situations that require groups .,"Every now and then , we encounter occasions where collectivity is needed .",we often meet situation that require group .,"every now and then , we encounter occasion where collectivity be need .",0.8947368421052632,5,7-12 2-6 0-5 5-11 ,{},{},{},{},{},{},{}
training-19,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"And in spite of that , terrorism does not stand the least chance to take place .",He added : `` We have no likelyhood of being targeted by terrorism . '',"and in spite of that , terrorism do not stand the least chance to take place .",he add : `` we have no likelyhood of be target by terrorism . '',0.896551724137931,2,16-13 6-12 ,{},{},{},{},{},{},{}
training-20,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Peoples Party has refused to either accept or decline !,The People 's Party is rejecting both the rejection and the contribution .,people party have refuse to either accept or decline !,the people 's party be reject both the rejection and the contribution .,0.8947368421052632,3,9-12 1-3 0-1 3-5 ,{},{},{},{},{},{},{}
training-21,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,How effective will this kind of corruption fighting be ?,What results can we expect from an anti-corruption campaign like this ?,how effective will this kind of corruption fight be ?,what result can we expect from an anti-corruption campaign like this ?,0.9,2,9-11 4-9 6-7 7-8 ,{},{},{},{},{},{},{}
training-22,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Even enemies are treated this way by the cruelest people .,Only extremely cruel mete out such treatment to their enemies .,even enemy be treat this way by the cruelest people .,only extremely cruel mete out such treatment to their enemy .,0.9,0,10-10 1-9 3-6 ,{},{},{},{},{},{},{}
training-23,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Most forecasts anticipate a further slow down in the economy in the next few months .,It was also widely speculated that economic increases would continue to shrink over the following several months .,most forecast anticipate a further slow down in the economy in the next few month .,it be also widely speculate that economic increase would continue to shrink over the following several month .,0.896551724137931,2,15-17 14-16 12-14 9-6 11-13 ,{},{},{},{},{},{},{}
training-24,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Syria believed that was only an act for the news .,Syria brushed this off as mere media coverage seeking attention .,syria believe that be only an act for the news .,syria brush this off a mere medium coverage seek attention .,0.9,0,10-10 0-0 9-6 ,{},{},{},{},{},{},{}
training-25,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,They wo n't use such drugs again .,"In the future , they need to stop taking medicine of this nature .",they wo n't use such drug again .,"in the future , they need to stop take medicine of this nature .",0.9,6,7-13 3-8 5-9 ,{},{},{},{},{},{},{}
training-26,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,That freedom may be as short lived as 24-48 hours .,"Whether , this independence continues for 24 or 48 hours .",that freedom may be a short live a 24-48 hour .,"whether , this independence continue for 24 or 48 hour .",0.8947368421052632,0,10-10 9-9 8-6 8-8 ,{},{},{},{},{},{},{}
training-27,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"Furthermore , how effective will such anti-corruption work be ?",What results can we expect from an anti-corruption campaign like this ?,"furthermore , how effective will such anti-corruption work be ?",what result can we expect from an anti-corruption campaign like this ?,0.9,2,9-11 6-7 ,{},{},{},{},{},{},{}
training-28,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,The U.S. Olympic Committee is dysfunctional because of fierce internal feuds earlier .,The dysfunctioning USOC has shown serious inner squabbling .,the u.s. olympic committee be dysfunctional because of fierce internal feud earlier .,the dysfunctioning usoc have show serious inner squabbling .,0.9,4,12-8 5-1 9-6 ,{},{},{},{},{},{},{}
training-29,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Help has been offered from others as well .,People from all walks of life also lend a hand to him .,help have be offer from others as well .,people from all walk of life also lend a hand to him .,0.9,4,8-12 7-6 ,{},{},{},{},{},{},{}
training-30,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"However , Nasdaq 's advancer/decliner ratio is 6-5 .",But the American Auto Pricing stocks up and down rate is 6:5 .,"however , nasdaq 's advancer/decliner ratio be 6-5 .",but the american auto pricing stock up and down rate be 6:5 .,0.9,4,8-12 5-9 6-10 ,{},{},{},{},{},{},{}
training-31,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,A lucky person breathed his last while prostrating in the Prophet 's Mosque .,"A fortunate man passed away in the state of Sajdah in The Mosque of Prophet , peace be upon him , in Holy City of Medina .",a lucky person breathe his last while prostrate in the prophet 's mosque .,"a fortunate man pass away in the state of sajdah in the mosque of prophet , peace be upon him , in holy city of medina .",0.7931034482758621,13,13-26 8-5 9-6 2-2 0-0 1-1 10-14 12-12 ,{},{},{},{},{},{},{}
training-32,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Started from book 26 yesterday .,"Yesterday , I got a small chance to recite the Holy Quran and began from the 25th part .",start from book 26 yesterday .,"yesterday , i get a small chance to recite the holy quran and begin from the 25th part .",0.8571428571428572,13,5-18 4-0 0-13 1-14 ,{},{},{},{},{},{},{}
training-33,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"The proposed and the non-proposed , so we both arrive , with what we represent , we will arrive at a name that is acceptable by both parties .",Proposed and not proposed until we both find a name acceptable to both sides .,"the propose and the non-proposed , so we both arrive , with what we represent , we will arrive at a name that be acceptable by both party .",propose and not propose until we both find a name acceptable to both side .,0.7037037037037037,14,28-14 1-0 2-1 7-5 8-6 20-8 21-9 9-7 27-13 26-12 24-10 ,{},{},{},{},{},{},{}
training-34,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"Inside the courtyard of the television station , a reception team of 25 people was formed to attend to those who came to make donations in person .",The TV station also establish a reception group of 25 to receive donors .,"inside the courtyard of the television station , a reception team of 25 people be form to attend to those who come to make donation in person .",the tv station also establish a reception group of 25 to receive donor .,0.7333333333333334,14,27-13 8-5 9-6 11-8 12-9 6-2 4-0 5-1 10-7 15-4 24-12 ,{},{},{},{},{},{},{}
training-35,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,China never threatened or threatens or will threaten any countries .,"China has never become a threat to any country in the past or present , and will not become a threat in the future .",china never threaten or threaten or will threaten any country .,"china have never become a threat to any country in the past or present , and will not become a threat in the future .",0.6666666666666667,14,10-24 8-7 9-8 1-2 0-0 2-5 4-20 ,{},{},{},{},{},{},{}
training-36,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,London October 9/XinhuaCouncil of British Muslims denounced today US-led air strikes against Afghanistan .,"London , October 9 ( Xinhua ) - The Muslim Council of Britain declared its opposition to the air strikes carried out today by the US against Afghanistan .",london october 9/xinhuacouncil of british muslim denounce today us-led air strike against afghanistan .,"london , october 9 ( xinhua ) - the muslim council of britain declare it opposition to the air strike carry out today by the u against afghanistan .",0.6774193548387097,15,13-28 11-26 12-27 9-18 10-19 0-0 1-2 7-22 5-9 4-12 3-11 ,{},{},{},{},{},{},{}
training-37,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"From the menu , select Options then recorder then Source then Line-in .","From the top menu , select in sequence : Options , then Recorder , then Source , then Line-in , as shown in the following picture .","from the menu , select option then recorder then source then line-in .","from the top menu , select in sequence : option , then recorder , then source , then line-in , a show in the following picture .",0.42105263157894735,14,12-26 2-3 3-4 4-5 0-0 1-1 6-11 7-12 8-14 9-15 10-17 11-18 5-9 ,{},{},{},{},{},{},{}
training-38,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Indonesia invaded the Portuguese colony in 1975 and annexed East Timor after several weeks .,"Indonesia intruded into East Timor , a colony of Portugal , in 1975 , and a few weeks later East Timor was merged into the territory of Indonesia .",indonesia invade the portuguese colony in 1975 and annex east timor after several week .,"indonesia intrude into east timor , a colony of portugal , in 1975 , and a few week later east timor be merge into the territory of indonesia .",0.6153846153846154,14,14-28 5-11 6-12 9-3 10-4 13-17 3-9 4-7 0-0 ,{},{},{},{},{},{},{}
training-39,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"On the other hand , Hammad clarified that the tax on casino tickets , where betting is done , has not been reduced .",Hammad said gambling casino tickets would not be discounted .,"on the other hand , hammad clarify that the tax on casino ticket , where betting be do , have not be reduce .",hammad say gambling casino ticket would not be discount .,0.7391304347826086,14,23-9 11-3 12-4 20-6 21-7 6-1 5-0 22-8 15-2 ,{},{},{},{},{},{},{}
training-40,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Pfizer is considering running commercials that directly mention the name Viagra .,"Pfizer Company is thinking over whether any other advertisements in which the product 's name , Viagra , is mentioned directly , will be needed .",pfizer be consider run commercial that directly mention the name viagra .,"pfizer company be think over whether any other advertisement in which the product 's name , viagra , be mention directly , will be need .",0.6923076923076923,14,11-25 7-19 6-20 2-3 1-2 10-16 9-14 0-0 4-8 ,{},{},{},{},{},{},{}
training-41,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,The discoveries also provide new clues for seeking more dinosaur fossils .,The discovery of the dinosaur fossils also provides important hints for where researchers should look for additional fossils and how these bones fossils were buried .,the discovery also provide new clue for seek more dinosaur fossil .,the discovery of the dinosaur fossil also provide important hint for where researcher should look for additional fossil and how these bone fossil be bury .,0.6923076923076923,14,11-25 0-0 1-1 2-6 3-7 9-4 10-5 5-9 7-14 4-16 6-10 ,{},{},{},{},{},{},{}
training-42,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,The discovery of dinosaur skeleton fossils has offered important clues in terms of fossil regional distribution and burying patterns of fossils to further seek seeking dinosaur fossils .,The discoveries also provide new clues for seeking more dinosaur fossils .,the discovery of dinosaur skeleton fossil have offer important clue in term of fossil regional distribution and bury pattern of fossil to further seek seek dinosaur fossil .,the discovery also provide new clue for seek more dinosaur fossil .,0.7307692307692308,16,27-11 25-9 26-10 0-0 1-1 24-7 9-5 7-3 ,{},{},{},{},{},{},{}
training-43,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"In his opinion , the documents signed by the two parties are of great importance to strengthening the good neighborly relations and friendly cooperation between the two countries .",He thought the documents just signed are important for good-neighborliness and friendly cooperation .,"in his opinion , the document sign by the two party be of great importance to strengthen the good neighborly relation and friendly cooperation between the two country .",he think the document just sign be important for good-neighborliness and friendly cooperation .,0.7419354838709677,15,28-13 21-10 22-11 23-12 4-2 5-3 6-5 19-9 14-7 ,{},{},{},{},{},{},{}
training-44,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"So the Prophet , God 's prayer and peace be upon Him , said to him : `` More than your son , Omar ? ''","The Prophet replied : More than your son , Omar ?","so the prophet , god 's prayer and peace be upon him , say to him : `` more than your son , omar ? ''","the prophet reply : more than your son , omar ?",0.5833333333333333,15,18-4 19-5 20-6 21-7 22-8 23-9 24-10 1-0 2-1 ,{},{},{},{},{},{},{}
training-45,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"And here , we fools consider them our Muslim rulers when we see this .","On the other hand , we , the foolish , never grow tired of saying they are Muslim rulers because they have themselves shown while they are praying .","and here , we fool consider them our muslim ruler when we see this .","on the other hand , we , the foolish , never grow tire of say they be muslim ruler because they have themselves show while they be pray .",0.84375,14,14-28 2-4 3-5 8-17 9-18 4-8 6-15 ,{},{},{},{},{},{},{}
training-46,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Syria has beaten Iran with a score of 110:92 and the Iran team ended in the third place in basketball .,Syria defeated Iran by 110:92 .,syria have beat iran with a score of 110:92 and the iran team end in the third place in basketball .,syria defeat iran by 110:92 .,0.8,15,20-5 0-0 3-2 2-1 8-4 ,{},{},{},{},{},{},{}
training-47,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"To me , the scene of circles appearing before my eyes no longer has any other function except for inducing the effect of dizziness caused by radiation .",The eye-full of circles makes you nothing else but dizzy .,"to me , the scene of circle appear before my eye no longer have any other function except for induce the effect of dizziness cause by radiation .",the eye-full of circle make you nothing else but dizzy .,0.8787878787878788,17,27-10 5-2 6-3 23-9 21-4 10-1 ,{},{},{},{},{},{},{}
training-48,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs.<br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"Some related department passed on a message to Wang Peirong and her family members through another person , and asked them to pay attention to their security .",Relevant departments told Wang Peirong and her family to be careful of safety .,"some related department pass on a message to wang peirong and her family member through another person , and ask them to pay attention to their security .",relevant department tell wang peirong and her family to be careful of safety .,0.7419354838709677,14,27-13 8-3 9-4 10-5 11-6 12-7 2-1 1-0 23-10 26-12 ,{},{},{},{},{},{},{}
